team_long_name,team_short_name,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass
Jagiellonia Białystok,BIA,47.17,Balanced,Little,52.67,Mixed,Organised,50.83,Normal,36.33,Normal,67.0,Lots,Organised,49.33,Medium,56.33,Press,53.67,Normal,Cover
Piast Gliwice,PIG,47.0,Balanced,Little,56.25,Long,Organised,55.25,Normal,51.0,Normal,46.75,Normal,Organised,42.25,Medium,51.25,Press,51.0,Normal,Cover
Cracovia,CKR,41.4,Balanced,Little,46.2,Mixed,Organised,55.4,Normal,49.6,Normal,52.2,Little,Organised,59.0,Medium,44.4,Press,61.8,Normal,Cover
Korona Kielce,KKI,62.33,Fast,Little,53.83,Mixed,Organised,53.0,Normal,49.33,Normal,57.83,Lots,Organised,47.17,Medium,48.33,Press,61.0,Normal,Cover
Zagłębie Lubin,ZAG,41.6,Slow,Little,44.8,Mixed,Organised,50.0,Normal,49.0,Normal,55.2,Normal,Organised,58.2,Medium,52.0,Press,55.6,Normal,Cover
Widzew Łódź,WID,65.25,Balanced,Little,62.75,Long,Organised,56.75,Normal,64.25,Lots,53.0,Normal,Organised,34.25,Deep,42.75,Press,59.0,Normal,Cover
Podbeskidzie Bielsko-Biała,POD,62.0,Balanced,Little,58.5,Mixed,Organised,57.0,Normal,49.0,Normal,45.5,Normal,Organised,38.0,Deep,46.0,Press,43.0,Normal,Cover
Pogoń Szczecin,POG,55.67,Balanced,Little,42.0,Mixed,Organised,53.33,Normal,46.0,Normal,57.0,Normal,Organised,51.33,Medium,53.67,Press,52.33,Normal,Cover
Zawisza Bydgoszcz,ZAW,54.0,Balanced,Normal,40.0,Mixed,Organised,56.5,Normal,49.0,Normal,52.0,Normal,Organised,44.0,Medium,47.0,Press,52.0,Normal,Cover
Górnik Łęczna,LEC,41.0,Balanced,Normal,59.0,Mixed,Organised,41.0,Normal,44.0,Normal,54.0,Normal,Organised,52.0,Medium,47.0,Press,50.0,Normal,Cover
FC Porto,POR,51.0,Balanced,Little,48.67,Mixed,Organised,55.67,Normal,66.83,Normal,66.17,Lots,Organised,53.33,Medium,50.33,Press,55.33,Normal,Cover
CF Os Belenenses,BEL,44.33,Balanced,Normal,44.67,Mixed,Organised,46.0,Normal,39.67,Normal,52.0,Normal,Organised,35.33,Medium,42.0,Press,42.67,Normal,Cover
Sporting CP,SCP,49.67,Balanced,Little,48.17,Mixed,Organised,56.33,Normal,60.17,Normal,54.83,Normal,Organised,51.5,Medium,48.83,Press,49.33,Normal,Cover
Vitória Guimarães,GUI,42.5,Balanced,Little,38.83,Mixed,Organised,55.33,Normal,60.83,Normal,56.0,Normal,Organised,43.17,Medium,47.17,Press,56.33,Normal,Cover
Vitória Setúbal,SET,51.0,Balanced,Little,41.33,Mixed,Organised,54.33,Normal,53.83,Normal,52.17,Normal,Organised,35.5,Medium,38.83,Press,52.0,Normal,Cover
FC Paços de Ferreira,FER,44.83,Balanced,Little,39.33,Mixed,Organised,53.33,Normal,53.5,Normal,52.83,Normal,Organised,36.5,Medium,40.17,Press,56.67,Normal,Cover
SC Braga,BRA,47.83,Balanced,Little,45.0,Mixed,Organised,55.17,Normal,56.0,Normal,50.33,Normal,Organised,28.0,Deep,51.0,Press,39.33,Normal,Cover
Académica de Coimbra,ACA,42.5,Balanced,Little,42.67,Mixed,Organised,53.33,Normal,54.33,Normal,58.33,Normal,Organised,40.33,Medium,37.83,Press,56.5,Normal,Cover
Rio Ave FC,RA,47.33,Balanced,Little,40.67,Mixed,Organised,57.67,Normal,59.67,Normal,54.33,Normal,Organised,38.5,Medium,45.17,Press,49.33,Normal,Cover
SL Benfica,BEN,59.0,Balanced,Little,45.5,Mixed,Organised,63.83,Normal,59.0,Normal,55.33,Normal,Organised,54.33,Medium,51.5,Press,52.0,Normal,Cover
Leixões SC,LEI,30.0,Slow,Little,30.0,Short,Organised,50.0,Normal,50.0,Normal,65.0,Normal,Organised,30.0,Deep,30.0,Contain,30.0,Narrow,Cover
CD Nacional,NAC,46.67,Balanced,Little,38.67,Mixed,Organised,55.33,Normal,52.67,Normal,52.0,Normal,Organised,41.17,Medium,44.83,Press,51.0,Normal,Cover
Naval 1° de Maio,NAV,40.0,Balanced,Little,47.5,Mixed,Organised,40.0,Normal,50.0,Normal,60.0,Lots,Organised,37.5,Deep,35.5,Contain,32.5,Narrow,Cover
CS Marítimo,MAR,44.0,Balanced,Little,46.67,Mixed,Organised,58.67,Normal,65.0,Normal,55.83,Normal,Organised,38.33,Medium,44.5,Press,43.67,Normal,Cover
"União de Leiria, SAD",ULE,45.33,Balanced,Little,45.33,Mixed,Organised,50.67,Normal,50.0,Normal,48.67,Normal,Organised,51.0,Medium,48.33,Press,52.0,Normal,Cover
S.C. Olhanense,OLH,49.0,Balanced,Little,48.4,Mixed,Organised,51.8,Normal,44.2,Normal,48.2,Normal,Free Form,42.2,Medium,33.8,Contain,45.4,Normal,Cover
SC Beira Mar,B-M,42.0,Balanced,Little,47.33,Mixed,Organised,52.0,Normal,52.0,Normal,58.33,Normal,Organised,40.33,Medium,53.0,Press,58.33,Normal,Cover
Gil Vicente FC,GV,56.25,Balanced,Little,41.0,Mixed,Organised,54.0,Normal,49.5,Normal,46.0,Normal,Free Form,39.0,Medium,48.5,Press,53.0,Normal,Cover
Moreirense FC,MOR,38.0,Balanced,Little,43.0,Mixed,Organised,51.0,Normal,54.0,Normal,39.0,Normal,Organised,44.0,Medium,46.0,Press,48.0,Normal,Cover
Estoril Praia,EST,63.67,Balanced,Normal,52.0,Mixed,Organised,47.0,Normal,53.0,Normal,39.0,Normal,Organised,46.0,Medium,49.0,Press,55.0,Normal,Cover
FC Arouca,ARO,67.0,Balanced,Normal,39.0,Mixed,Organised,55.0,Normal,59.0,Normal,46.0,Normal,Organised,36.0,Medium,38.0,Press,37.0,Normal,Cover
FC Penafiel,PEN,54.0,Balanced,Normal,39.0,Mixed,Organised,52.0,Normal,56.0,Normal,38.0,Normal,Organised,40.0,Medium,35.0,Press,46.0,Normal,Cover
Boavista FC,BOA,47.0,Balanced,Normal,50.0,Mixed,Organised,37.0,Normal,38.0,Normal,53.0,Normal,Organised,32.0,Deep,62.0,Press,54.0,Normal,Cover
Falkirk,FAL,70.0,Fast,Little,70.0,Long,Organised,60.0,Normal,70.0,Lots,70.0,Lots,Organised,60.0,Medium,70.0,Double,70.0,Wide,Cover
Rangers,RAN,51.0,Balanced,Little,45.5,Mixed,Organised,45.0,Normal,62.5,Normal,63.67,Normal,Organised,49.67,Medium,51.5,Press,58.67,Normal,Cover
Heart of Midlothian,HEA,59.6,Balanced,Little,60.0,Mixed,Organised,58.4,Normal,63.8,Normal,64.0,Normal,Organised,53.4,Medium,59.0,Press,61.4,Normal,Cover
Motherwell,MOT,64.83,Fast,Little,56.33,Mixed,Organised,49.5,Normal,51.17,Normal,53.0,Normal,Organised,43.67,Medium,48.0,Press,59.5,Normal,Cover
Kilmarnock,KIL,53.5,Balanced,Little,57.0,Mixed,Organised,53.67,Normal,55.0,Normal,50.67,Normal,Organised,48.0,Medium,49.17,Press,54.33,Normal,Cover
Hibernian,HIB,57.6,Balanced,Little,51.0,Mixed,Organised,52.6,Normal,54.6,Normal,51.8,Normal,Organised,47.8,Medium,48.8,Press,52.2,Normal,Cover
Aberdeen,ABE,59.0,Balanced,Little,57.33,Mixed,Organised,52.5,Normal,63.0,Lots,58.67,Normal,Organised,46.5,Medium,47.67,Press,60.83,Normal,Cover
Inverness Caledonian Thistle,INV,48.2,Balanced,Little,54.2,Mixed,Organised,55.4,Normal,49.6,Normal,58.0,Normal,Organised,42.2,Medium,45.6,Press,45.0,Normal,Cover
Celtic,CEL,61.33,Balanced,Little,57.33,Mixed,Organised,55.67,Normal,60.83,Normal,60.83,Normal,Organised,53.33,Medium,54.33,Press,62.17,Normal,Cover
St. Mirren,MIR,52.67,Balanced,Little,56.5,Long,Organised,57.67,Normal,53.83,Normal,58.67,Normal,Organised,52.67,Medium,53.0,Press,48.67,Normal,Cover
Hamilton Academical FC,HAM,61.33,Balanced,Little,56.33,Mixed,Organised,65.0,Risky,58.67,Normal,55.0,Normal,Organised,53.67,Medium,53.33,Press,58.0,Normal,Cover
Dundee United,DUU,61.83,Balanced,Little,58.0,Mixed,Organised,57.33,Normal,55.0,Normal,49.5,Normal,Organised,47.83,Medium,48.0,Press,57.0,Normal,Cover
St. Johnstone FC,JOH,62.0,Balanced,Little,53.0,Mixed,Organised,47.5,Normal,48.67,Normal,43.33,Normal,Organised,37.67,Medium,47.5,Press,47.0,Normal,Cover
Dunfermline Athletic,DUN,55.0,Balanced,Little,60.0,Mixed,Organised,46.0,Normal,68.0,Lots,54.0,Normal,Organised,42.0,Medium,43.0,Press,63.0,Normal,Cover
Dundee FC,DUF,48.5,Balanced,Little,48.5,Mixed,Organised,35.0,Normal,60.5,Normal,59.0,Normal,Organised,49.0,Medium,45.5,Press,55.5,Normal,Cover
Ross County FC,ROS,38.0,Balanced,Normal,52.0,Mixed,Organised,46.67,Normal,41.0,Normal,48.67,Normal,Organised,38.33,Medium,53.33,Press,41.67,Normal,Cover
Partick Thistle F.C.,PAR,48.0,Balanced,Normal,42.0,Mixed,Organised,48.0,Normal,51.5,Normal,56.0,Normal,Organised,46.5,Medium,45.0,Press,50.5,Normal,Cover
Valencia CF,VAL,29.33,Slow,Little,35.0,Mixed,Organised,43.67,Normal,55.67,Normal,59.5,Normal,Organised,49.5,Medium,44.5,Press,57.33,Normal,Cover
RCD Mallorca,MAL,56.17,Balanced,Little,53.33,Mixed,Organised,52.83,Normal,53.33,Normal,52.5,Normal,Organised,54.67,Medium,42.0,Press,54.0,Normal,Cover
CA Osasuna,OSA,39.67,Balanced,Little,49.5,Mixed,Organised,53.5,Normal,61.67,Normal,56.5,Normal,Organised,44.33,Medium,55.67,Press,65.83,Wide,Cover
Villarreal CF,VIL,38.83,Balanced,Little,32.33,Mixed,Free Form,45.5,Normal,49.33,Normal,61.5,Normal,Free Form,52.5,Medium,46.5,Press,56.0,Normal,Cover
RC Deportivo de La Coruña,COR,51.17,Balanced,Little,42.83,Mixed,Organised,39.83,Normal,53.67,Normal,64.17,Lots,Organised,42.17,Medium,46.5,Press,58.33,Normal,Cover
Real Madrid CF,REA,50.67,Balanced,Little,38.67,Mixed,Free Form,67.5,Risky,53.83,Normal,69.0,Lots,Free Form,52.0,Medium,52.17,Press,63.5,Normal,Cover
CD Numancia,NUM,50.33,Balanced,Little,45.5,Mixed,Organised,50.67,Normal,45.33,Normal,56.0,Normal,Organised,45.0,Medium,48.0,Press,59.67,Normal,Cover
FC Barcelona,BAR,35.83,Balanced,Little,34.0,Short,Free Form,45.17,Normal,33.33,Little,53.0,Normal,Free Form,64.33,Medium,54.5,Press,66.5,Normal,Cover
Racing Santander,SAN,47.2,Balanced,Little,49.2,Mixed,Organised,63.6,Normal,67.4,Lots,51.4,Normal,Organised,48.6,Medium,47.8,Press,58.4,Normal,Cover
Sevilla FC,SEV,57.0,Balanced,Little,56.0,Mixed,Organised,58.33,Normal,58.33,Normal,52.5,Normal,Organised,45.5,Medium,53.83,Press,59.5,Normal,Cover
Real Sporting de Gijón,SPG,59.0,Balanced,Little,47.83,Mixed,Organised,66.33,Risky,57.17,Normal,50.83,Normal,Organised,46.83,Medium,59.17,Press,44.67,Normal,Cover
Getafe CF,GET,34.5,Balanced,Little,39.67,Mixed,Organised,50.33,Normal,44.83,Normal,55.33,Normal,Organised,48.17,Medium,41.0,Press,51.0,Normal,Cover
Real Betis Balompié,BET,52.33,Balanced,Little,40.67,Mixed,Organised,55.67,Normal,48.0,Normal,56.5,Normal,Organised,54.0,Medium,46.83,Press,56.67,Normal,Cover
RC Recreativo,HUE,42.5,Balanced,Little,50.5,Mixed,Organised,44.67,Normal,45.67,Normal,36.67,Normal,Organised,39.0,Medium,48.33,Press,57.67,Normal,Cover
RCD Espanyol,ESP,53.17,Balanced,Little,45.17,Mixed,Organised,58.33,Normal,60.83,Normal,47.33,Normal,Organised,44.83,Medium,44.67,Press,49.33,Normal,Cover
Real Valladolid,VAL,52.83,Balanced,Little,53.67,Mixed,Organised,50.33,Normal,59.17,Lots,50.33,Normal,Organised,45.5,Medium,51.17,Press,52.67,Normal,Cover
Athletic Club de Bilbao,BIL,51.67,Balanced,Little,48.0,Mixed,Organised,46.67,Normal,70.17,Lots,46.83,Normal,Organised,39.67,Medium,62.33,Press,56.83,Normal,Cover
UD Almería,ALM,50.0,Balanced,Little,60.5,Mixed,Organised,55.0,Normal,52.5,Normal,49.83,Normal,Organised,46.0,Medium,57.5,Press,46.17,Normal,Cover
Atlético Madrid,AMA,53.17,Balanced,Little,47.83,Mixed,Organised,64.67,Normal,62.67,Normal,60.0,Normal,Organised,55.5,Medium,39.17,Press,54.33,Normal,Cover
Málaga CF,MAL,48.5,Balanced,Little,42.17,Mixed,Organised,58.0,Normal,57.83,Lots,55.17,Normal,Organised,54.83,Medium,53.83,Press,46.17,Normal,Cover
Xerez Club Deportivo,XER,47.5,Balanced,Little,44.0,Mixed,Organised,45.25,Normal,50.75,Normal,50.25,Normal,Organised,47.25,Medium,52.5,Press,53.0,Normal,Cover
Real Zaragoza,ZAR,39.17,Balanced,Little,33.5,Mixed,Organised,51.17,Normal,49.5,Normal,56.67,Normal,Organised,46.5,Medium,41.83,Press,55.0,Normal,Cover
CD Tenerife,TEN,49.5,Balanced,Little,48.75,Mixed,Organised,56.25,Normal,46.0,Normal,58.25,Normal,Organised,52.75,Medium,45.0,Press,61.5,Normal,Cover
Hércules Club de Fútbol,HER,50.6,Balanced,Little,49.4,Mixed,Organised,56.6,Normal,49.8,Normal,61.8,Normal,Organised,46.6,Medium,49.8,Press,55.4,Normal,Cover
Levante UD,LEV,54.5,Balanced,Little,56.67,Mixed,Organised,58.33,Normal,53.33,Normal,58.17,Normal,Organised,40.67,Medium,45.17,Press,52.33,Normal,Cover
Real Sociedad,SOC,40.17,Balanced,Little,38.5,Mixed,Organised,56.33,Normal,51.17,Normal,59.83,Normal,Organised,47.83,Medium,48.5,Press,57.33,Normal,Cover
Granada CF,GRA,52.4,Balanced,Little,44.4,Mixed,Organised,65.2,Risky,68.4,Lots,52.4,Normal,Organised,49.8,Medium,45.8,Press,65.8,Wide,Cover
Rayo Vallecano,RAY,42.17,Balanced,Little,43.5,Mixed,Organised,42.5,Normal,47.0,Normal,53.17,Normal,Organised,55.17,Medium,51.17,Press,58.0,Normal,Cover
RC Celta de Vigo,CEL,48.67,Balanced,Little,49.67,Mixed,Organised,52.67,Normal,57.0,Lots,56.0,Normal,Organised,42.67,Medium,47.0,Press,59.5,Normal,Cover
Elche CF,ELC,48.17,Balanced,Little,55.33,Long,Organised,51.5,Normal,51.5,Normal,57.33,Normal,Organised,47.67,Medium,48.0,Press,54.67,Normal,Cover
SD Eibar,EIB,62.0,Balanced,Normal,52.0,Mixed,Organised,59.5,Normal,55.0,Normal,58.0,Normal,Organised,37.0,Medium,56.0,Press,49.0,Normal,Cover
Córdoba CF,COR,40.33,Balanced,Little,46.33,Mixed,Organised,41.67,Normal,59.0,Normal,51.17,Normal,Organised,36.83,Medium,38.33,Press,48.67,Normal,Cover
UD Las Palmas,LAS,46.0,Balanced,Little,43.67,Mixed,Organised,54.0,Normal,44.83,Normal,56.83,Normal,Organised,49.17,Medium,42.83,Press,56.67,Normal,Cover
Grasshopper Club Zürich,GRA,49.5,Balanced,Little,53.17,Mixed,Organised,53.0,Normal,58.67,Normal,50.33,Normal,Organised,37.83,Medium,46.67,Press,51.67,Normal,Cover
AC Bellinzona,BEL,43.5,Balanced,Little,52.0,Mixed,Organised,55.0,Normal,51.5,Normal,55.0,Normal,Organised,38.5,Deep,50.0,Press,55.5,Normal,Cover
BSC Young Boys,YB,53.83,Balanced,Little,63.0,Mixed,Organised,46.0,Normal,68.5,Lots,52.0,Normal,Organised,46.5,Medium,40.0,Press,53.5,Normal,Cover
FC Basel,BAS,55.0,Balanced,Little,44.83,Mixed,Organised,60.83,Normal,63.83,Normal,52.5,Normal,Organised,47.67,Medium,57.5,Press,54.5,Normal,Cover
FC Aarau,AAR,53.0,Balanced,Normal,53.33,Mixed,Organised,56.0,Normal,63.67,Normal,61.0,Normal,Organised,48.0,Medium,47.67,Press,51.0,Normal,Cover
FC Sion,SIO,54.33,Balanced,Little,44.0,Mixed,Organised,60.83,Normal,52.67,Normal,54.33,Normal,Organised,42.67,Medium,43.83,Press,50.0,Normal,Cover
FC Luzern,LUZ,51.83,Balanced,Little,52.5,Mixed,Organised,53.0,Normal,48.33,Normal,61.0,Normal,Organised,48.0,Medium,48.33,Press,50.33,Normal,Cover
FC Vaduz,VAD,53.0,Balanced,Little,56.0,Mixed,Organised,38.0,Normal,53.0,Normal,46.0,Normal,Organised,42.0,Medium,33.0,Contain,58.0,Normal,Cover
Neuchâtel Xamax,XAM,54.33,Balanced,Little,47.33,Mixed,Organised,45.33,Normal,55.33,Normal,49.0,Normal,Organised,44.33,Medium,40.33,Press,52.67,Normal,Cover
FC Zürich,ZUR,56.83,Balanced,Little,50.0,Mixed,Organised,48.0,Normal,55.17,Normal,53.5,Normal,Organised,48.67,Medium,46.0,Press,55.67,Normal,Cover
FC St. Gallen,GAL,47.6,Balanced,Little,51.8,Mixed,Organised,39.8,Normal,45.2,Normal,44.4,Normal,Organised,43.8,Medium,45.6,Press,50.8,Normal,Cover
FC Thun,THU,56.6,Balanced,Little,35.8,Mixed,Organised,63.2,Normal,36.4,Normal,59.0,Normal,Organised,45.0,Medium,42.8,Press,51.6,Normal,Cover
Servette FC,SER,42.0,Balanced,Little,52.33,Mixed,Organised,50.33,Normal,67.33,Normal,50.0,Normal,Organised,51.0,Medium,50.0,Press,51.0,Normal,Cover
FC Lausanne-Sports,LAU,38.75,Balanced,Little,51.75,Mixed,Organised,49.0,Normal,60.0,Normal,52.0,Normal,Organised,46.75,Medium,47.5,Press,53.75,Normal,Cover